ID,Especie,Subespecie,Poblacion,Localidad,Locacion,,,
KT957217,Ara militaris,A. m. mexicanus,SMOc4,P1_LM,19° 33? 57? N,103° 30? 25? O,,
KT957209,Ara militaris,A. m. mexicanus,SMOc4,P1_LM,19° 33? 57? N,103° 30? 25? O,,
KT957221,Ara militaris,A. m. mexicanus,SMOc4,P2_VC,19° 28? 15? N,103° 56? 19? O,,
KT957222,Ara militaris,A. m. mexicanus,SMOc4,P2_VC,19° 28? 15? N,103° 56? 19? O,,
KT957220,Ara militaris,A. m. mexicanus,SMOc4,P2_VC,19° 28? 15? N,103° 56? 19? O,,
KT957218,Ara militaris,A. m. mexicanus,SMOc4,P2_VC,19° 28? 15? N,103° 56? 19? O,,
KT957224,Ara militaris,A. m. mexicanus,SMOc4,P2_VC,19° 28? 15? N,103° 56? 19? O,,
KT957226,Ara militaris,A. m. mexicanus,SMOc4,P2_VC,19° 28? 15? N,103° 56? 19? O,,
KT957210,Ara militaris,A. m. mexicanus,SMOc4,P3_LP,19° 41? 58? N,103° 26? 41? O,,
KT957214,Ara militaris,A. m. mexicanus,SMOc4,P3_LP,19° 41? 58? N,103° 26? 41? O,,
KT957223,Ara militaris,A. m. mexicanus,SMOc4,P3_LP,19° 41? 58? N,103° 26? 41? O,,
KT957219,Ara militaris,A. m. mexicanus,SMOc4,P3_LP,19° 41? 58? N,103° 26? 41? O,,
KT957215,Ara militaris,A. m. mexicanus,SMOc5,P4_BB,20° 34? 10? N,104° 59? 22? O,,
KT957216,Ara militaris,A. m. mexicanus,SMOc5,P4_BB,20° 34? 10? N,104° 59? 22? O,,
KT957211,Ara militaris,A. m. mexicanus,SMOc5,P5_BO,21° 50? 53? N,105° 07? 44? O,,
KT957212,Ara militaris,A. m. mexicanus,SMOc5,P5_BO,21° 50? 53? N,105° 07? 44? O,,
KT957213,Ara militaris,A. m. mexicanus,SMOc4,P2_VC,19° 28? 15? N,103° 56? 19? O,,
KT957225,Ara militaris,A. m. mexicanus,SMOc3,P6_Q,22° 15? 49? N,105° 34? 55?O,,
KT957246,Ara militaris,A. m. mexicanus,SMOc1,P7_LS,26° 52? 48? N,108° 34? 12? W,,
KT957252,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957257,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957262,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957263,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957264,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957265,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957266,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957267,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957268,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957269,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957270,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957271,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957272,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957273,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957274,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957275,Ara militaris,A. m. mexicanus,SMOc2,P8_C,24° 24? 44? N,106° 41? 22? W,,
KT957249,Ara militaris,A. m. mexicanus,SMOc3,P9_MA,21° 30? 28? N,104° 55? 47? W,,
KT957250,Ara militaris,A. m. mexicanus,SMOc3,P9_MA,21° 30? 28? N,104° 55? 47? W,,
